title,ride,weightedrank
1,Splash Mountain,27
2,Indiana Jones Adventure,26
3,Pirates of the Caribbean,25
4,Matterhorn Bobsleds,24
5,Haunted Mansion,23
6,Mad Tea Party,22
7,Space Mountain,21
8,Big Thunder Mountain Railroad,20
9,It's A Small World,19
10,Jungle Cruise,18
11,Peter Pan's Flight,17
12,Star Tours: The Adventures Continue,16
13,Finding Nemo Submarine Voyage,15
14,Buzz Lightyear Astro Blasters,14
15,Autopia,13
16,Mr Toad's Wild Ride,12
17,Dumbo the Flying Elephant,11
18,Alice in Wonderland,10
19,Roger Rabbit's Car Toon Spin,9
20,Astro Orbitor,8
21,Gadget's Go Coaster,7
22,Storybook Land Canal Boats,6
23,Pinocchio's Daring Journey,5
24,Casey Jr Circus Train,4
25,King Arthur Carousel,3
26,Snow White's Scary Adventures,2
27,The Many Adventures of Winnie The Pooh,1