Rank,Roller Coaster Rides,lat,lng,rating,dataset
1,X2,37.7983435,-122.1824224,0,Six_flags_rides_ratings_updated
2,Tatsu,37.9179243,-122.0366824,4.5,Six_flags_rides_ratings_updated
3,Goliath,38.004405,-121.790123,0,Six_flags_rides_ratings_updated
4,Twisted Colossus,34.4274076,-118.5982191,4.8,Six_flags_rides_ratings_updated
5,Full Throttle,38.4231961,-121.4397948,0,Six_flags_rides_ratings_updated
6,The Riddler's Revenge,34.4241838,-118.5998452,4.4,Six_flags_rides_ratings_updated
7,Scream,38.3234309,-122.6791846,4,Six_flags_rides_ratings_updated
8,Superman: Escape From Krypton,34.4240381,-118.5980801,4.4,Six_flags_rides_ratings_updated
9,Batman: The Ride,42.3682934,-87.9337462,4.4,Six_flags_rides_ratings_updated
10,Green Lantern: First Flight,34.4256274,-118.5997949,2.7,Six_flags_rides_ratings_updated
11,Viper,37.8452003,-122.2777871,0,Six_flags_rides_ratings_updated
12,Lex Luthor: Drop of Doom,34.4264164,-118.5984501,4.8,Six_flags_rides_ratings_updated
13,Apocalypse,38.246615,-122.685064,5,Six_flags_rides_ratings_updated
14,Colossus,38.0167671,-121.9434252,0,Six_flags_rides_ratings_updated
15,Revolution,37.797173,-122.27623,4.7,Six_flags_rides_ratings_updated
16,Ninja,38.3857526,-121.9358588,4.9,Six_flags_rides_ratings_updated
17,Dejavu,37.7980458,-122.4036424,4,Six_flags_rides_ratings_updated
18,The New Revolution,34.4219237,-118.5963711,3.7,Six_flags_rides_ratings_updated
19,CraZanity,34.4250007,-118.5986248,5,Six_flags_rides_ratings_updated
20,Gold Rusher,34.4234608,-118.5989356,4,Six_flags_rides_ratings_updated
21,Jet Stream,37.7753309,-122.2455758,0,Six_flags_rides_ratings_updated
22,Justice League: Battle For Metropolis,,,,
23,Road Runner Express,29.5987688,-98.6123972,4.4,Six_flags_rides_ratings_updated
24,Dive Devil,34.4228744,-118.5999889,5,Six_flags_rides_ratings_updated
25,Magic Flyer,37.807047,-122.4307656,4.8,Six_flags_rides_ratings_updated
26,Drop of Doom,34.4264164,-118.5984501,4.8,Six_flags_rides_ratings_updated
27,Speedy Gonzales Hot Rod Racers,,,,
28,Wile E. Coyote Canyon Blaster,33.7676718,-84.550905,4.3,Six_flags_rides_ratings_updated
29,Canyon Blaster,38.1912243,-122.2572448,0,Six_flags_rides_ratings_updated